number;time
86676 2;1.22
86836 2;0.7
86918 4;1.55
86918 2;0.53
86930 2;0.27
86961 2;1.01
87018 2;0.8
87030 2;1.33
87448 2;0.78
87503 2;0.46
87709 2;0.44
87759 2;0.16
88122 4;0.75
88292 2;0.54
88292 2;0.17
88438 2;0.41
88468 7;1.76
88997 2;0.84
89256 2;0.5
89351 2;0.3
89385 2;0.24
89665 2;2.07
89676 2;0.53
89730 2;1.53
89816 2;0.48
90038 2;0.07
90090 2;0.25
90241 2;0.27
90485 2;0.25
90621 2;1.64
90709 2;0.51
90709 2;0.38
90883 2;0.46
91107 2;0.92
91434 2;0.54
91483 2;0.12
91496 2;0.4
91762 2;0.52
91819 2;0.73
92362 2;0.05
92396 2;0.18
93305 2;1.55
93305 5;1.32
93409 2;0.21
93480 2;0.74
93640 2;1.18
93806 2;0.34
93817 3;0.6
93953 2;0.33
93991 2;1.03
94084 2;1.08
94122 4;2.41
94226 5;0.92
94226 2;0.75
94293 3;0.31
94312 2;0.33
94312 3;0.63
94339 2;0.31
94358 2;0.37
94399 2;1.2
94416 2;0.99
94489 2;0.36
94490 2;0.85
94587 2;0.54
94977 2;0.58
94977 2;0.23
94994 2;1.3
95962 2;0.43
96146 2;0.06
96155 2;1.31
96193 3;0.47
96193 2;0.56
96462 2;0.29
96578 4;1.47
97400 2;0.09
97400 2;1.84
97509 2;1.17
97587 2;0.6
97636 2;0.42
97833 2;0.88
97904 3;0.92
97904 2;0.11
97939 2;0.09
98025 2;0.36
98227 2;0.69
98875 2;0.18
98955 2;0.02
99121 3;0.58
99494 3;0.7
100003 2;0.34
100164 2;0.62
100618 2;0.28
100921 2;0.04
102394 3;2.64
102434 2;0.18
102435 2;1.58
102763 2;0.25
102773 2;0.73
102801 3;0.95
103057 2;0.59
103223 2;0.28
103572 2;0.91
103623 2;0.21
103635 2;0.79
103662 2;0.3
103713 2;0.7
103717 2;0.36
103834 2;0.86
103867 2;1.05
104240 2;1.45
104431 2;0.68
104565 2;0.27
104711 2;0.53
104869 2;0.71
104911 2;0.28
105122 2;0.17
105474 2;0.63
105619 2;0.24
105619 2;0.27
105852 2;0.45
105873 2;0.66
105960 2;2.22
106078 2;0.44
106098 8;2.47
106098 2;0.67
107320 4;0.64
107408 2;0.21
107508 5;0.53
107614 2;0.25
108009 2;0.28
108167 2;0.44
108548 3;1.48
108869 2;2.05
108869 3;1.14
109233 2;0.41
109339 2;0.09
110110 2;0.3
110115 2;0.19
110126 2;0.1
110126 2;0.4
110139 4;2.23
110139 2;0.82
110238 2;0.46
110328 6;2.41
110354 2;0.05
110843 3;0.83
111466 2;0.52
111864 3;0.26
112026 2;0.46
112042 2;0.75
112106 2;0.73
112177 2;0.41
112183 2;0.26
112229 2;1.44
112620 2;0.16
113083 2;0.19
113208 2;0.38
113261 2;1.42
113347 2;0.04
113416 2;0.54
113728 2;0.48
113728 2;0.49
113812 2;0.41
113980 2;0.52
114013 2;0.56
114229 2;0.84
114337 2;0.35
114764 2;0.65
114764 2;0.32
115159 2;0.06
115384 2;0.74
115414 2;0.13
115442 4;1.07
115442 2;0.46
115663 2;0.39
116425 2;0.84
116467 2;0.76
116623 2;0.33
117107 2;1.13
117640 3;0.43
117957 2;0.29
118046 2;0.78
118417 2;0.22
118474 2;0.9
118583 2;0.25
118583 2;0.28
118583 2;0.32
118978 2;0.28
119075 2;0.34
119331 2;0.06
119347 2;0.84
119539 2;0.46
119562 2;0.31
120900 2;1.11
121018 2;0.03
121018 2;0.2
121582 2;1.07
121714 2;0.38
121714 3;0.21
121873 2;0.27
123290 2;0.25
123301 2;0.88
123355 2;0.06
123962 2;0.38
124604 2;0.13
125332 2;0.18
125636 4;0.36
